timestamp,quat_w,quat_x,quat_y,quat_z,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z
1765752906.7684536,0.799834668636322,0.027830220758914948,0.02925114706158638,-0.5988608598709106,-0.2887393832206726,0.24271315336227417,0.035389244556427,-3.326061725616455,0.8663443922996521,10.467558860778809
1765752906.7859528,0.8123849630355835,0.020014308393001556,0.040938518941402435,-0.5813382267951965,-0.20835193991661072,-0.2494947612285614,0.9533803462982178,-0.886581540107727,2.486203193664551,8.006738662719727
1765752906.789342,0.8153253793716431,0.017881818115711212,0.04074901342391968,-0.5772904753684998,-0.4761677086353302,-0.3102116286754608,0.9970595836639404,-0.8552637100219727,2.2849385738372803,8.397178649902344
1765752906.795791,0.8178066611289978,0.015686627477407455,0.04076253995299339,-0.5738332271575928,-0.37909072637557983,-0.3217692971229553,1.1010706424713135,-3.7624590396881104,-3.022963285446167,13.837831497192383
1765752906.8011878,0.8198758959770203,0.01445381622761488,0.0403372198343277,-0.5709356069564819,-0.32566189765930176,-0.3734423816204071,1.201870083808899,-0.5424813032150269,-0.39979788661003113,10.632200241088867
1765752906.8196445,0.8198758959770203,0.01445381622761488,0.0403372198343277,-0.5709356069564819,-0.32566189765930176,-0.3734423816204071,1.201870083808899,-0.5424813032150269,-0.39979788661003113,10.632200241088867
1765752906.8308084,0.8213383555412292,0.013607069849967957,0.040088947862386703,-0.5688682198524475,-0.3170695900917053,-0.3581578731536865,1.2661628723144531,-3.2174580097198486,-2.024106502532959,15.068355560302734
1765752906.8323681,0.8213383555412292,0.013607069849967957,0.040088947862386703,-0.5688682198524475,-0.3170695900917053,-0.3581578731536865,1.2661628723144531,-1.2174808979034424,-1.1343023777008057,13.066497802734375
1765752906.841585,0.82209312915802,0.013217528350651264,0.03998856619000435,-0.5677931904792786,-0.31621119379997253,-0.31967535614967346,1.2981274127960205,-1.5500332117080688,-1.962039828300476,14.09090518951416
1765752906.8626742,0.8228638172149658,0.012869779951870441,0.03990700840950012,-0.5666894912719727,-0.2938937842845917,-0.28072649240493774,1.3320714235305786,-2.15556001663208,-0.576452374458313,11.542304039001465
1765752906.8653076,0.8244344592094421,0.012059141881763935,0.03977471962571144,-0.5644292831420898,-0.3941485583782196,-0.3048126995563507,1.366833209991455,-0.7088930606842041,2.205799102783203,8.79539966583252
1765752906.8771613,0.8284515738487244,0.00891304761171341,0.039848122745752335,-0.5585702061653137,-0.6851542592048645,-0.3601035177707672,1.4123836755752563,0.1975085735321045,3.2167065143585205,7.336574554443359
1765752906.8877332,0.8324809074401855,0.004532855004072189,0.04059901088476181,-0.5525456070899963,-0.9556190371513367,-0.3898946940898895,1.4091578722000122,0.40405166149139404,1.9382914304733276,7.662860870361328
1765752906.8891814,0.8364097476005554,-0.0007328556384891272,0.042060092091560364,-0.5464879870414734,-1.173116683959961,-0.353983610868454,1.3876376152038574,1.4200915098190308,2.73034405708313,5.509459495544434
1765752906.8905246,0.8371732831001282,-0.0018943548202514648,0.04244650900363922,-0.5452848672866821,-1.2327042818069458,-0.3445397913455963,1.3749746084213257,1.0919349193572998,1.4392567873001099,7.121528148651123
1765752906.9018216,0.8468748331069946,-0.014983389526605606,0.04908420518040657,-0.5293101668357849,-1.0197948217391968,0.004384107422083616,1.4670807123184204,-1.5929008722305298,0.6516734957695007,10.905255317687988
1765752906.9119852,0.8513991832733154,-0.020135995000600815,0.05262834578752518,-0.5214827656745911,-1.110176682472229,0.0015017197001725435,1.472589373588562,0.3910982310771942,3.09615159034729,10.355243682861328
1765752906.912754,0.8535925149917603,-0.023199303075671196,0.05455875024199486,-0.5175567865371704,-1.2837214469909668,-0.08518454432487488,1.4425495862960815,-0.529944658279419,-0.34317314624786377,4.9649338722229
1765752906.919691,0.8543159365653992,-0.02427389845252037,0.055142421275377274,-0.5162503123283386,-1.273844838142395,-0.12772627174854279,1.4444947242736816,1.0351749658584595,1.0520848035812378,11.412525177001953
1765752906.920214,0.8642942309379578,-0.03918670862913132,0.06397650390863419,-0.497359961271286,-1.181242823600769,-0.018866991624236107,1.2953519821166992,-2.628730058670044,0.5552804470062256,5.455748558044434
1765752906.9202745,0.8763734102249146,-0.06639803946018219,0.06935549527406693,-0.4719647765159607,-1.0213736295700073,-0.6805963516235352,0.8711522221565247,-2.095630645751953,-2.9565889835357666,7.381280422210693
1765752906.9203403,0.8767602443695068,-0.06751412898302078,0.0692657008767128,-0.47110041975975037,-0.9699978828430176,-0.6896641850471497,0.8566818833351135,-2.452617883682251,-2.3288118839263916,7.944603443145752
1765752906.9204009,0.8816515803337097,-0.08210960030555725,0.06750068813562393,-0.4597740173339844,-0.7127007246017456,-0.5610004663467407,0.6455122232437134,-1.7110819816589355,-2.166358470916748,9.847880363464355
1765752906.9204504,0.8819195032119751,-0.0829443410038948,0.06739599257707596,-0.459125280380249,-0.7096060514450073,-0.5474452972412109,0.6301922798156738,-1.445674180984497,-2.6217901706695557,9.946014404296875
1765752906.920498,0.8824331760406494,-0.08455918729305267,0.06718834489583969,-0.4578724205493927,-0.6796200275421143,-0.5355097055435181,0.5994282960891724,-2.2304749488830566,-2.7078373432159424,8.163376808166504
1765752906.9205425,0.8826806545257568,-0.08534763753414154,0.06706328690052032,-0.45726701617240906,-0.6582450866699219,-0.5391841530799866,0.5839947462081909,0.5290418863296509,-4.396328926086426,4.612174034118652
1765752906.9207098,0.8839008808135986,-0.08749362081289291,0.06518042087554932,-0.4547698497772217,-0.06219964846968651,-0.5978668928146362,0.4436033070087433,-0.8049750924110413,-2.584643602371216,6.6976118087768555
1765752906.920758,0.8843467831611633,-0.08807332813739777,0.06426646560430527,-0.4539203941822052,-0.067551389336586,-0.5852809548377991,0.40964463353157043,-1.331343412399292,-2.1708426475524902,7.321388244628906
1765752906.920793,0.8851269483566284,-0.08937107026576996,0.0625852644443512,-0.45237839221954346,-0.11593694984912872,-0.5428519248962402,0.34979408979415894,-0.7685784697532654,-2.5873100757598877,9.12684440612793
1765752906.9211578,0.8856146335601807,-0.09033133834600449,0.061529140919446945,-0.4513769745826721,-0.14776769280433655,-0.4705774486064911,0.3000449240207672,1.2102619409561157,-1.6006572246551514,6.2503156661987305
1765752906.9211898,0.8856146335601807,-0.09033133834600449,0.061529140919446945,-0.4513769745826721,-0.14776769280433655,-0.4705774486064911,0.3000449240207672,1.2102619409561157,-1.6006572246551514,6.2503156661987305
1765752906.9222345,0.8857489228248596,-0.0906703993678093,0.06123567000031471,-0.45108532905578613,-0.17362548410892487,-0.4475524127483368,0.27153390645980835,0.7583566904067993,-1.836332082748413,5.288910865783691
1765752906.9235451,0.8857489228248596,-0.0906703993678093,0.06123567000031471,-0.45108532905578613,-0.17362548410892487,-0.4475524127483368,0.27153390645980835,0.7583566904067993,-1.836332082748413,5.288910865783691
1765752906.9296284,0.8858684301376343,-0.09102395921945572,0.06094978749752045,-0.4508180320262909,-0.18973441421985626,-0.4442578852176666,0.24309523403644562,1.3822640180587769,-1.9157840013504028,5.1407341957092285
1765752906.9338775,0.8859788775444031,-0.09136601537466049,0.06068699061870575,-0.4505671262741089,-0.1897832751274109,-0.4165821075439453,0.227304145693779,-0.37835800647735596,-2.5501961708068848,7.219146728515625
